id,sku,name,slug,description,short_description,category_tag,tags,regular_price,sale_price,status,published,stock_status,stock_quantity,backorders,sold_individually,weight,length,width,height,ship_class,images,download_limit,download_expiry,product_url,buy_now_url
7608527,DIGIKALA-7608527,"ادوپرفیوم مردانه نیفتی مدل ساواج دیور با رایحه خنک حجم 100 میلی‌لیتر",ادوپرفیوم-مردانه-نیفتی-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100-میلی-لیتر-7608527,"ادوپرفیوم مردانه نیفتی مدل ساواج دیور با رایحه خنک حجم 100 میلی‌لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادوپرفیوم مردانه نیفتی مدل ساواج دیور با رایحه خنک حجم 100 میلی‌لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",26000000,12210000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/2f1da2da383be8436c6f932192f44918cf00aba6_1754247222.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-7608527/ادوپرفیوم-مردانه-نیفتی-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100-میلیلیتر,
18013409,DIGIKALA-18013409,"ادوپرفیوم مردانه هارلینگن مدل ساواج دیور با رایحه خنک حجم 100میلی لیتر",ادوپرفیوم-مردانه-هارلینگن-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100میلی-لیتر-18013409,"ادوپرفیوم مردانه هارلینگن مدل ساواج دیور با رایحه خنک حجم 100میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادوپرفیوم مردانه هارلینگن مدل ساواج دیور با رایحه خنک حجم 100میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",27000000,10990000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/82efc214cb68042a490301986e6a362eefb29b8b_1754239403.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-18013409/ادوپرفیوم-مردانه-هارلینگن-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100میلی-لیتر,
21090992,DIGIKALA-21090992,"ادو پرفیوم مردانه زدفون مدل ایو سن لورن وای با رایحه خنک حجم 100 میلی لیتر",ادو-پرفیوم-مردانه-زدفون-مدل-ایو-سن-لورن-وای-با-رایحه-خنک-حجم-100-میلی-لیتر-21090992,"ادو پرفیوم مردانه زدفون مدل ایو سن لورن وای با رایحه خنک حجم 100 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه زدفون مدل ایو سن لورن وای با رایحه خنک حجم 100 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",33400000,13990000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/24d57bba29b5b442b042a87d71cf5ddd75822906_1765718122.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-21090992/ادو-پرفیوم-مردانه-زدفون-مدل-ایو-سن-لورن-وای-با-رایحه-خنک-حجم-100-میلی-لیتر,
17099923,DIGIKALA-17099923,"ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دایویدف کول واتر با رایحه خنک  حجم 35 میلی لیتر",ادو-پرفیوم-مردانه-فراگرنس-پرشیا-116-مدل-دایویدف-کول-واتر-با-رایحه-خنک-حجم-35-میلی-لیتر-17099923,"ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دایویدف کول واتر با رایحه خنک  حجم 35 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دایویدف کول واتر با رایحه خنک  حجم 35 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",3800000,3200000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/30b8c2c5a044953aa8b40f1dc21a4e67839490ad_1729682166.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-17099923/ادو-پرفیوم-مردانه-فراگرنس-پرشیا-116-مدل-دایویدف-کول-واتر-با-رایحه-خنک-حجم-35-میلی-لیتر,
18644609,DIGIKALA-18644609,"ادو پرفیوم مردانه هارلینگن مدل بلو شنل با رایحه خنک حجم 100 میلی لیتر",ادو-پرفیوم-مردانه-هارلینگن-مدل-بلو-شنل-با-رایحه-خنک-حجم-100-میلی-لیتر-18644609,"ادو پرفیوم مردانه هارلینگن مدل بلو شنل با رایحه خنک حجم 100 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه هارلینگن مدل بلو شنل با رایحه خنک حجم 100 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",27000000,10990000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/c742caa3200289b5ff54f670e5e4af0a502f739a_1754240978.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-18644609/ادو-پرفیوم-مردانه-هارلینگن-مدل-بلو-شنل-با-رایحه-خنک-حجم-100-میلی-لیتر,
1759329,DIGIKALA-1759329,"ادو پرفیوم مردانه دندلیون مدل اسنشیال با رایحه خنک و تلخ حجم 100 میلی لیتر",ادو-پرفیوم-مردانه-دندلیون-مدل-اسنشیال-با-رایحه-خنک-و-تلخ-حجم-100-میلی-لیتر-1759329,"ادو پرفیوم مردانه دندلیون مدل اسنشیال با رایحه خنک و تلخ حجم 100 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه دندلیون مدل اسنشیال با رایحه خنک و تلخ حجم 100 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",26375250,20800000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/3c1f517c6d55ea7aeb5aec627412abcd47ee5136_1754238168.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-1759329/ادو-پرفیوم-مردانه-دندلیون-مدل-اسنشیال-حجم-100-میلی-لیتر,
10479648,DIGIKALA-10479648,"ادو پرفیوم مردانه نیفتی مدل بلو شنل با رایحه معتدل حجم 100 میلی لیتر",ادو-پرفیوم-مردانه-نیفتی-مدل-بلو-شنل-با-رایحه-معتدل-حجم-100-میلی-لیتر-10479648,"ادو پرفیوم مردانه نیفتی مدل بلو شنل با رایحه معتدل حجم 100 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه نیفتی مدل بلو شنل با رایحه معتدل حجم 100 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",26000000,11900000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/733c5c262879338393eab538fbe5c10823c862b2_1754253564.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-10479648/ادو-پرفیوم-مردانه-نیفتی-مدل-بلو-شنل-با-رایحه-معتدل-حجم-100-میلی-لیتر,
19563280,DIGIKALA-19563280,"ادو پرفیوم مردانه ایفوریا مدل شنل اگویست پلاتینیوم با رایحه خنک حجم 100 میلی لیتر",ادو-پرفیوم-مردانه-ایفوریا-مدل-شنل-اگویست-پلاتینیوم-با-رایحه-خنک-حجم-100-میلی-لیتر-19563280,"ادو پرفیوم مردانه ایفوریا مدل شنل اگویست پلاتینیوم با رایحه خنک حجم 100 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه ایفوریا مدل شنل اگویست پلاتینیوم با رایحه خنک حجم 100 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",29000000,22600000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/068b3d1fb6507e4f964519553d23c2fbe152ce82_1749982053.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-19563280/ادو-پرفیوم-مردانه-ایفوریا-مدل-شنل-اگویست-پلاتینیوم-با-رایحه-خنک-حجم-100-میلی-لیتر,
17366892,DIGIKALA-17366892,"ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دیزایر بلو با رایحه خنک حجم 50 میلی لیتر",ادو-پرفیوم-مردانه-فراگرنس-پرشیا-116-مدل-دیزایر-بلو-با-رایحه-خنک-حجم-50-میلی-لیتر-17366892,"ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دیزایر بلو با رایحه خنک حجم 50 میلی لیتر؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه فراگرنس پرشیا 116 مدل دیزایر بلو با رایحه خنک حجم 50 میلی لیتر","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",9500000,5200000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/1bcc6ffc1765a7904a1343026019c7fbc4c8c2de_1731433076.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-17366892/ادو-پرفیوم-مردانه-فراگرنس-پرشیا-116-مدل-دیزایر-بلو-با-رایحه-خنک-حجم-50-میلی-لیتر,
20252898,DIGIKALA-20252898,"ادو پرفیوم مردانه کلپک مدل ساواج دیور با رایحه خنک حجم 100 میلی لیتر مجموعه 2 عددی",ادو-پرفیوم-مردانه-کلپک-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100-میلی-لیتر-مجموعه-2-عددی-20252898,"ادو پرفیوم مردانه کلپک مدل ساواج دیور با رایحه خنک حجم 100 میلی لیتر مجموعه 2 عددی؛ محصول موجود در دیجی‌کالا. پیش از انتشار، اطلاعات محصول و مجوز استفاده از محتوا را بررسی کنید.","خرید ادو پرفیوم مردانه کلپک مدل ساواج دیور با رایحه خنک حجم 100 میلی لیتر مجموعه 2 عددی","عطر و ادکلن","دیجی‌کالا,عطر,ادکلن",50000000,18500000,draft,0,instock,10,no,no,,,,,,"https://dkstatics-public.digikala.com/digikala-products/5b8205f9d91f12656f2e29ba79a1f752c9b6cff9_1756063592.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80",,,https://www.digikala.com/product/dkp-20252898/ادو-پرفیوم-مردانه-کلپک-مدل-ساواج-دیور-با-رایحه-خنک-حجم-100-میلی-لیتر-مجموعه-2-عددی,
